Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.111-95.101.31.164-50994-80-6,192.168.0.111,50994,95.101.31.164,80,6,05/11/2025 10:22:58 PM,3868,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517.063081695967,3868.0,0.0,3868.0,3868.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,258.5315408479835,258.5315408479835,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,253,501,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.111-95.101.31.164-49418-80-6,192.168.0.111,49418,95.101.31.164,80,6,05/11/2025 10:22:58 PM,4199,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476.3038818766373,4199.0,0.0,4199.0,4199.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,238.15194093831866,238.15194093831866,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,255,501,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.106-20.189.173.27-54164-443-6,192.168.0.106,54164,20.189.173.27,443,6,05/11/2025 10:23:06 PM,294352,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.794586073816383,294352.0,0.0,294352.0,294352.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,3.3972930369081915,3.3972930369081915,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1021,16386,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.111-20.189.173.26-52032-443-6,192.168.0.111,52032,20.189.173.26,443,6,05/11/2025 10:22:49 PM,22761052,3,0,48.0,0.0,24.0,0.0,16.0,13.856406460551018,0,0,0,0,2.108865618337852,0.13180410114611574,1.1380526E7,1.408527716745574E7,2.1340321E7,1420731.0,2.2761052E7,1.1380526E7,1.408527716745574E7,2.1340321E7,1420731.0,0,0,0,0,0,1,0,0,0,60,0,0.13180410114611574,0.0,0.0,24.0,18.0,12.0,144.0,2,0,1,2,3,0,0,0,0.0,24.0,16.0,0.0,0,0,0,0,0,0,1,24,0,0,253,0,1,20,1420731.0,0.0,1420731.0,1420731.0,2.1340321E7,0.0,2.1340321E7,2.1340321E7,NeedManualLabel
192.168.0.111-20.189.173.26-52033-443-6,192.168.0.111,52033,20.189.173.26,443,6,05/11/2025 10:22:49 PM,22760783,3,0,48.0,0.0,24.0,0.0,16.0,13.856406460551018,0,0,0,0,2.1088905421223867,0.13180565888264917,1.13803915E7,1.4083306460856574E7,2.1338793E7,1421990.0,2.2760783E7,1.13803915E7,1.4083306460856574E7,2.1338793E7,1421990.0,0,0,0,0,0,1,0,0,0,60,0,0.13180565888264917,0.0,0.0,24.0,18.0,12.0,144.0,2,0,1,2,3,0,0,0,0.0,24.0,16.0,0.0,0,0,0,0,0,0,1,24,0,0,253,0,1,20,1421990.0,0.0,1421990.0,1421990.0,2.1338793E7,0.0,2.1338793E7,2.1338793E7,NeedManualLabel
192.168.0.111-13.107.246.34-52037-443-6,192.168.0.111,52037,13.107.246.34,443,6,05/11/2025 10:23:13 PM,966150,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.175179837499353,241537.5,280376.0131710034,522722.0,229.0,443428.0,221714.0,312799.9983663683,442897.0,531.0,523482.0,523482.0,0.0,523482.0,523482.0,0,0,0,0,72,52,3.105107902499612,2.070071934999741,0.0,0.0,0.0,0.0,0.0,2,2,0,0,4,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,83,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.111-95.101.31.164-62739-80-6,192.168.0.111,62739,95.101.31.164,80,6,05/11/2025 10:23:25 PM,4595,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435.2557127312296,4595.0,0.0,4595.0,4595.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,217.6278563656148,217.6278563656148,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,253,501,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.111-95.101.31.164-62741-80-6,192.168.0.111,62741,95.101.31.164,80,6,05/11/2025 10:23:25 PM,3757,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,532.3396326856534,3757.0,0.0,3757.0,3757.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,266.1698163428267,266.1698163428267,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,255,501,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.111-20.189.173.11-52040-443-6,192.168.0.111,52040,20.189.173.11,443,6,05/11/2025 10:23:26 PM,1035655,6,5,462.0,10720.0,462.0,0.0,77.0,188.61071019430472,4356.0,0.0,2144.0,2084.6601641514617,10797.031830097862,10.621297632898987,103565.49999999999,145569.8839551719,416571.0,0.0,1035655.0,207131.0,265357.342580717,652574.0,283.0,441682.0,110420.5,126999.2767709066,236547.0,0.0,0,0,0,0,156,112,5.7934350724903565,4.82786256040863,0.0,4356.0,931.8333333333333,1655.8599981077305,2741872.333333333,0,2,1,2,10,0,0,0,0.0,1016.5454545454545,77.0,2144.0,0,0,0,11182,5,25909,0,0,0,0,65535,16384,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.111-20.189.173.11-52041-443-6,192.168.0.111,52041,20.189.173.11,443,6,05/11/2025 10:23:26 PM,1037921,15,11,1662.0,12765.0,670.0,0.0,110.8,221.53593710405409,5808.0,0.0,1160.4545454545455,1640.6209412071003,13899.901822971111,25.050076065519434,41516.83999999999,76707.3194093845,227116.0,0.0,1037921.0,74137.21428571429,91968.43170280565,227850.0,155.0,858853.0,85885.3,110546.73136637233,245518.0,0.0,0,0,0,0,372,232,14.451966960876597,10.598109104642838,0.0,5808.0,534.3333333333331,1158.4470706012492,1341999.6153846157,1,2,1,7,25,0,0,0,0.0,554.8846153846154,110.8,1160.4545454545455,0,0,0,14427,13,17126,0,0,0,0,65535,16386,4,20,0,0,0,0,0,0,0,0,NeedManualLabel
