Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.106-34.144.254.29-60754-443-6,192.168.0.106,60754,34.144.254.29,443,6,05/11/2025 11:17:40 PM,4354,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459.34772622875516,4354.0,0.0,4354.0,4354.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,229.67386311437758,229.67386311437758,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,252,1046,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.106-34.144.254.29-48203-443-6,192.168.0.106,48203,34.144.254.29,443,6,05/11/2025 11:17:37 PM,22929715,2,2,1.0,0.0,1.0,0.0,0.5,0.7071067811865476,0.0,0.0,0.0,0.0,0.0436115320229667,0.1744461280918668,7643238.333333334,1.3228530826106288E7,2.291823E7,5674.0,2.2923904E7,2.2923904E7,0.0,2.2923904E7,2.2923904E7,2.2924041E7,2.2924041E7,0.0,2.2924041E7,2.2924041E7,0,0,0,0,40,52,0.0872230640459334,0.0872230640459334,0.0,1.0,0.4,0.5477225575051661,0.3,2,0,0,0,4,0,0,0,1.0,0.5,0.5,0.0,0,0,0,0,0,0,2,1,2,0,252,1046,0,20,5674.0,0.0,5674.0,5674.0,2.291823E7,0.0,2.291823E7,2.291823E7,NeedManualLabel
192.168.0.106-20.42.73.31-36901-443-6,192.168.0.106,36901,20.42.73.31,443,6,05/11/2025 11:18:18 PM,36892396,1,2,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.027105856719091926,0.08131757015727578,1.8446198E7,2.5923138467489965E7,3.6776625E7,115771.0,0,0,0,0,0,3.6776625E7,3.6776625E7,0.0,3.6776625E7,3.6776625E7,0,0,0,0,20,52,0.027105856719091926,0.05421171343818385,0.0,1.0,0.5,0.5773502691896257,0.3333333333333333,0,0,1,0,3,0,0,0,2.0,0.6666666666666666,1.0,0.0,0,0,0,0,0,0,1,1,2,0,252,0,0,20,115771.0,0.0,115771.0,115771.0,3.6776625E7,0.0,3.6776625E7,3.6776625E7,NeedManualLabel
192.168.0.106-34.144.254.29-17283-443-6,192.168.0.106,17283,34.144.254.29,443,6,05/11/2025 11:18:00 PM,60983457,6,7,65.0,830.0,64.0,0.0,10.833333333333334,26.04931221100985,618.0,0.0,118.57142857142858,233.97069413558125,14.676111260796514,0.21317256579927896,5081954.75,1.3364070197082236E7,4.4966507E7,0.0,6.0978457E7,1.21956914E7,1.9563865547925856E7,4.4966507E7,5590.0,6.0978095E7,1.0163015833333334E7,1.8217022249724407E7,4.5015035E7,0.0,0,0,0,0,132,164,0.09838733806120568,0.11478522773807329,0.0,618.0,63.92857142857142,169.55800654176608,28749.917582417584,2,2,0,3,12,0,0,0,1.0,68.84615384615384,10.833333333333334,118.57142857142857,0,0,0,0,0,0,3,32,3,415,65535,1046,2,20,60765.0,79024.83965184618,116644.0,4886.0,3.04284635E7,2.055989828807002E7,4.4966507E7,1.589042E7,NeedManualLabel
192.168.0.106-34.144.254.29-29017-443-6,192.168.0.106,29017,34.144.254.29,443,6,05/11/2025 11:19:01 PM,4551207,5,6,64.0,830.0,64.0,0.0,12.8,28.621670111997307,618.0,0.0,138.33333333333334,249.8204688704804,196.43140819567205,2.4169412641525643,455120.7,1393912.6182912495,4421839.0,115.0,4546436.0,1136609.0,2190302.6578285173,4421839.0,5655.0,4545667.0,909133.4,1994576.6379986005,4476932.0,462.0,0,0,0,0,112,132,1.098609665523893,1.3183315986286714,0.0,618.0,74.5,181.9992507477085,33123.72727272727,2,2,0,3,10,0,0,0,1.0,81.27272727272727,12.8,138.33333333333334,0,0,0,0,0,0,5,64,6,830,65535,1046,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.106-52.182.143.213-6528-443-6,192.168.0.106,6528,52.182.143.213,443,6,05/11/2025 11:19:07 PM,9104443,10,8,1068.0,6910.0,526.0,0.0,106.80000000000001,206.1438548414405,4356.0,0.0,863.7500000000001,1494.278492880666,876.2754624308154,1.9770566963843916,535555.4705882353,2014006.92438653,8345959.0,0.0,9104443.0,1011604.7777777778,2751653.6989935604,8345959.0,252.0,606340.0,86620.0,101547.53275683265,213311.0,0.0,0,0,0,0,212,172,1.0983648313246621,0.8786918650597296,0.0,4356.0,419.8947368421053,1020.4898004137709,1041399.4327485381,0,2,1,6,17,0,0,0,0.0,443.22222222222223,106.8,863.75,0,0,0,7978,8,13401,10,1068,8,6910,65535,16386,3,20,758484.0,0.0,758484.0,758484.0,8345959.0,0.0,8345959.0,8345959.0,NeedManualLabel
192.168.0.103-239.255.255.250-0-0-0,192.168.0.103,0,239.255.255.250,0,0,05/11/2025 11:17:37 PM,117557348,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.4253243276634651,2399129.5510204076,901564.8734770851,5016776.0,207113.0,1.17557348E8,2399129.5510204076,901564.8734770851,5016776.0,207113.0,0,0,0,0,0,0,0,0,0,0,0,0.4253243276634651,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.00057915E7,2.8238918125623375E7,4.9973722E7,1.0037861E7,5016180.5,842.1641763931781,5016776.0,5015585.0,NeedManualLabel
192.168.0.100-239.255.255.250-0-0-0,192.168.0.100,0,239.255.255.250,0,0,05/11/2025 11:17:38 PM,117865409,53,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.44966543152622496,2266642.4807692314,629745.9326218972,2569373.0,204005.0,1.17865409E8,2266642.4807692314,629745.9326218972,2569373.0,204005.0,0,0,0,0,0,0,0,0,0,0,0,0.44966543152622496,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NeedManualLabel
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,05/11/2025 11:17:37 PM,113460079,559,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,4.926843035249429,203333.4749103943,1208699.0619311735,2.0477633E7,0.0,1.13460079E8,203333.4749103943,1208699.0619311735,2.0477633E7,0.0,0,0,0,0,0,0,0,0,0,0,0,4.926843035249429,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,2.7453315E7,1.0585645901230969E7,3.4938497E7,1.9968133E7,1.9547355E7,1315611.764377318,2.0477633E7,1.8617077E7,NeedManualLabel
134.221.96.0-0.0.0.36-0-0-0,134.221.96.0,0,0.0.0.36,0,0,05/11/2025 11:17:38 PM,107058879,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.11208785401162288,9732625.363636363,9105293.232619775,2.3696097E7,74268.0,1.07058879E8,9732625.363636363,9105293.232619775,2.3696097E7,74268.0,0,0,0,0,0,0,0,0,0,0,0,0.11208785401162288,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4121180.0,0.0,4121180.0,4121180.0,1.4705385571428573E7,7646826.774595849,2.3696097E7,6310424.0,NeedManualLabel
